name,Complexity,Copy Number
1xnquadraticgrowth.rle,12034.394379844962,2
21p2.rle,20.499974998749938,5
boattieeatertail.rle,16.0,20
22p2.rle,23.0,3
l200.rle,94.0202010100505,9
38p7.2_synth.rle,60.25291264563228,31
44p7.2_synth.rle,367.6170808540427,29
22p36.rle,32.27866393319666,27
alternativep7bumper.rle,42.34596729836492,13
bargewithverylongtail.rle,19.0,5
boatbitmwss.rle,27.025251262563128,37
caposcillator.rle,23.666683334166706,121
28p7.2_synth.rle,53.116305815290765,15
22p36_synth.rle,73.07850392519626,27
carnivalshuttle2.rle,147.74973748687432,18
23334m.rle,18.008000400020002,8
blockondock_synth.rle,257.25141257062853,40
carriertiebipole.rle,17.500025001250062,5
128p10.2.rle,77.99989999499975,9
beluchenkosp51_synth.rle,105.14555727786389,13
boatwithcistail.rle,19.0,3
233p3h1v0.rle,42.4073203660183,9
295p5h1v1.rle,58.836691834591726,20
bargesiameseloaf_synth.rle,91.18820941047052,25
blonkeronrichsp16.rle,47.395619780989044,2
carriertieboat.rle,19.0,8
235c79climber.rle,56.65378268913445,11
30p5h2v0.rle,9.029001450072503,38
carriertieship.rle,16.0,2
23p2.rle,16.500025001250062,3
30p5h2v0_synth.rle,193.85594279713985,38
lwssgun1.rle,139.0758037901895,3
34p13.rle,30.846242312115603,14
catereron28p7.3.rle,35.09540477023851,5
p40bheptominoshuttle_synth.rle,114.88639431971598,9
24cellquadraticgrowth.rle,1287.5431271563577,9
31p8h4v0.rle,58.24666233311665,16
347c156climber.rle,193.70553527676384,7
24p10.rle,27.8000400020001,14
29p9.rle,31.44437221861093,12
bakersdozenreactions.rle,85.58337916895844,15
blockondock.rle,17.0,40
tumbler_synth.rle,48.747687384369215,52
cisbargewithnine.rle,14.0,9
24p2.rle,21.499974998749938,3
boatlinetub.rle,15.0,3
lx84.rle,80.42167108355417,7
35201m.rle,168.71573578678934,13
cisboatandcap.rle,14.0,6
34p64.rle,42.84339216960848,1
258p3.rle,85.33326666333316,20
boatamphisbaena.rle,16.0,6
brokenelevener.rle,16.0,4
brokensnake.rle,13.0,27
274p6h1v0.rle,111.00575028751437,13
2c5puffer1.rle,231.64073203660183,45
258p3onachimsp11.rle,125.2725636281814,4
asymmetricamphisbaena.rle,16.0,6
beehiveontable_synth.rle,60.030501525076254,21
boatonlongsnake.rle,15.0,8
44p14.rle,36.214310715535774,6
37p10.1.rle,32.69998499924996,11
25cellquadraticgrowth.rle,1219.5062753137656,8
25p3h1v0.1.rle,0.036401820091004546,40
2fumaroles.rle,35.79998999949997,89
25p3h1v0.2.rle,22.98334916745837,25
brokensnake_synth.rle,19.020651032551626,27
minipressurecooker_synth.rle,82.93594679733987,8
cisboatondock.rle,17.0,17
pressurecooker_synth.rle,282.25061253062654,14
cauldron_synth.rle,233.95939796989848,17
2x12infinitegrowth.rle,73.95894794739736,168
roteightor_synth.rle,41.019450972548626,25
28p7.2.rle,26.285714285714285,15
37p10.2.rle,32.30001500075004,11
26cellquadraticgrowth.rle,904.774438721936,17
35p52.rle,40.13485674283714,7
cisboatontable.rle,12.0,21
26p2.rle,23.0,3
boatontripole.rle,23.0,9
newf176.rle,85.037201860093,14
35p52_synth.rle,68.56357817890894,7
p156gun.rle,109.41742087104355,11
36p22.rle,40.95414770738537,15
26p40.rle,34.44982249112456,4
ciscarriertie.rle,16.0,11
boatclawwithtail.rle,16.0,7
cismangowithtail.rle,19.0,7
68p32.1.rle,58.499974998749934,11
37p4h1v0.rle,0.14520726036301815,18
carriersiameseverylongsnake.rle,18.0,8
carriertieboat_synth.rle,20.101455072753637,8
43p18.rle,34.22221111055553,4
4boats.rle,16.500025001250062,3
carrierwithfeather_synth.rle,18.05745287264363,6
catereronbeluchenkosp13.rle,39.230861543077154,2
43p18_synth.rle,164.6824841242062,4
carriersiamesehookwithtailhook.rle,12.0,9
p23gun.rle,187.0886044302215,11
45hivenudgers.rle,275.44677233861694,26
36p22_synth.rle,73.46987349367468,15
ciscarrierdownontable.rle,14.0,2
46p22.rle,37.999799989999495,6
carrierbridgecarrier.rle,17.0,11
carriersiamesedock.rle,15.0,10
ciscarriertiesnake.rle,14.0,2
4812diamond.rle,15.037901895094754,6
diagonalonoff.rle,0.00035001750087504374,18
37p7.1.rle,33.14285714285714,24
ciscarrierupontable.rle,11.0,2
46p4h1v0.rle,33.00890044502225,26
carriersiameseeaterhead.rle,16.0,12
cislongbargewithtail.rle,14.0,6
p160gun.rle,259.29921496074803,11
48p20.rle,35.1999599979999,1
44p12.3_synth.rle,264.9062953147657,19
canoesiamesesnake.rle,14.0,6
carrierbridgecarrier_synth.rle,125.14015700785039,11
carriersiameseshillelagh.rle,14.0,8
38p11.1.rle,30.363668183409168,13
38p24.rle,41.83334166708335,1
28p7.1.rle,29.71428571428571,21
38p7.2.rle,33.42857142857143,31
centuryeaterreaction.rle,49.07550377518876,15
47p72.rle,42.081304065203256,2
carriersiameseeatertail.rle,13.0,14
cisshipontable.rle,12.0,6
38p7.3.rle,34.42857142857143,3
cissnaketie.rle,9.0,11
3c10piwave.rle,57.06695334766738,7
clawsiamesetubwithcape.rle,16.0,7
3c14piwave.rle,62.48932446622331,7
28p7.3_synth.rle,109.41227061353067,28
3c7wave.rle,181.4875243762188,10
440p49.1.rle,179.265613280664,1
cisaircraftontable.rle,15.0,2
3enginecordership.rle,121.5456772838642,19
carrierbridgesnake.rle,14.0,2
cisbeacondownonlonghook.rle,15.500025001250062,5
50p35.rle,52.05635281764088,11
cottonmouth.rle,42.19185959297965,8
3enginecordership_synth.rle,118.92934646732336,19
44p5h2v0.rle,12.031501575078753,28
7inarowcordershipeater.rle,450.89179458972944,3
r49.rle,114.82859142957147,27
cisblockonlonghook.rle,15.0,5
cisblockonlonghook_synth.rle,126.18160908045402,5
3enginecordershipgun.rle,1333.7187359367967,3
44p5h2v0tagalongs.rle,55.54057702885144,28
cisboatondock_synth.rle,253.21106055302764,17
carriersiamesehookwithtailtail.rle,19.0,8
56p18.rle,53.888594429721486,1
3enginecordershiplwssreflection.rle,152.92209610480523,19
44p7.2.rle,30.57142857142857,29
cisboatontable_synth.rle,72.21726086304315,21
3enginecordershiprake.rle,1054.393219660983,2
54p17.1.rle,36.58817940897045,14
carriersiamesetubwithtail.rle,16.0,7
30p4h2v0.4.rle,0.11875593779688984,6
48p31.rle,49.67623381169058,19
carriersiamesecanoe.rle,16.0,2
cisboatwithnine_synth.rle,24.07710385519276,21
double28p7.3.rle,33.714285714285715,28
400p49.rle,168.3673183659183,6
47p72_synth.rle,104.12225611280563,2
cottonmouthextended.rle,129.73053652682634,8
crosssurface.rle,134.10630531526576,19
49p88.rle,51.001600080003996,11
41p7.2.rle,34.14285714285714,21
carriersiameselongsnake.rle,13.0,11
p337gun.rle,178.7836891844592,3
56p27.rle,60.2237611880594,33
extrovert.rle,42.20001000050002,7
49p88_synth.rle,175.57822891144556,11
eatertieboat.rle,16.0,10
