index,name,Complexity,Memetic Copy Number,Object Discovery Year
126,233p3h1v0.rle,42.4073203660183,9.0,1994
990,fastforwardforcefield.rle,7.078053902695134,15.0,1994
405,achimsp11.rle,56.6362818140907,24.0,1994
904,crown.rle,42.916545827291365,26.0,1994
3982,vex.rle,35.54502725136257,6.0,1994
1350,newgun2.rle,84.24066203310166,9.0,1994
3272,3blockshifter.rle,38.505575278763935,9.0,1994
1501,period14glidergun.rle,2232.9501475073757,3.0,1994
1367,p42glidershuttle.rle,79.52382619130957,9.0,1994
1867,tnosedp6.rle,33.333166658332914,9.0,1994
34,186p24.rle,105.79153957697883,11.0,1994
434,achimsp8.rle,23.749987499374967,23.0,1994
1205,jasonsp6.rle,29.66653332666633,10.0,1994
3,101.rle,39.0,138.0,1994
1001,foreandback.rle,23.0,13.0,1994
2014,twinprimecalculator.rle,1408.260863043152,7.0,1994
1606,bistableswitch.rle,71.07670383519175,20.0,1994
1018,fountain.rle,42.0,37.0,1994
37,134p25.rle,75.11995599779989,9.0,1994
2347,metamorphosisii.rle,116.1659582979149,6.0,1994
497,pseudop6.rle,63.0,3.0,1994
420,achimsp16.rle,37.50012500625031,18.0,1994
1563,pseudobarberpole.rle,19.0,62.0,1994
72,145p20.rle,72.84999249962497,9.0,1995
2272,r64.rle,60.07180359017951,35.0,1995
112,22p36.rle,32.27866393319666,27.0,1995
1375,p35beehivehassler.rle,130.97179858992948,8.0,1995
1446,p60hassler.rle,60.81709085454273,2.0,1995
477,p18biblockhassler.rle,34.22221111055553,19.0,1995
2535,p46basedprng.rle,243.0811040552028,6.0,1995
1126,heavyweightvolcano.rle,54.599929996499824,36.0,1995
1790,spacefiller2.rle,682.1617080854043,67.0,1995
1521,piorbital.rle,165.62263113155657,18.0,1995
441,fourmoldshasslingeightblocks.rle,58.63498174908745,6.0,1995
75,124p21.rle,72.28566428321416,9.0,1995
598,max.rle,237.4183209160458,67.0,1995
1397,p156hansleohassler.rle,91.11055552777638,9.0,1995
2396,period256glidergun.rle,101.34036701835092,25.0,1995
